snork	A child   The snork wants some munger(food).	孩子	snork	辞典 中	snork
yeehaw	A term cowboys when there riding a bull, can also be used when you achieve something.	牛仔 骑牛 实现 完成	yeehaw	yeehaw	yeehaw
facey	Facebook.	脸书 社交 facebook	面对	出版 业	Facey
chuddy	of pavement, rough.  From skateboarding.	路面 粗糙 滑板	dy	chuddy	chuddy
buckaroo	a name you call someone when you do not know their name.	不知道 名字 叫 某人 名字	巴克罗	牛仔	牛仔
upcycle	to transform discarded or second-hand resources into a new or altered object.	丢弃 二手 资源 转换 新的 改变 对象	upcycle	行业	上升 周期
hapa	a person whose parents are of different races.	父母 不同 种族 人	hapa	混血	混血
wiggy	flipped out, overreacted, upset.	翻转 反应 过度 不安	wiggy	卡车 3d	wiggy
wallop	to punch.	打孔	wallop	冲击力	冲击力
munson	to abandon, to leave; "ditch".  Origin: from the movie Kingpin, released during the summer of 1996.	抛弃	munson	曼森	曼森
skat	A very slutty female.  Also skat rat.	 放荡 女性 女人	skat	滑冰	斯科特
mbm	married black male.  Used mainly in personal ads.	结婚 已婚 黑人 男性 用于 个人 广告	mbm	mbm	肉骨 粉
curiouser	more curious.	更 好奇	好奇心	迂	奇怪的
mte	Acronym for "My Thoughts Exactly".  Used online generally on message boards or blogs like ohnotheydidnt on livejournal.	我的 想法 网上 留言板 博客	mte	焦山	焦山
blowhard	a braggart.	吹牛 牛皮	blowhard	吹牛 大王	吹牛 大王
jammie	related to "jammies", i.e. pajamas.	睡衣	jammie	jammie	Jammie
peeved	slightly angry.	生气	peeved	气 大	恼怒
y2k	the year 2000.	2000 年 千禧	y2k	y2k 问题	千年 虫
gunt	a particularly fat pelvic area on a woman; "FUPA".  Specifically: fat - often hanging fat - between the stomach and genitals.  From "gut" + "cunt".	女人 胖 骨盆区 脂肪 胃 生殖器 肠 阴道	gunt	gunt	刚特
soonish	fairly soon.	相当 快	快速	迟早 事	soonish
romcom	romantic comedy.	浪漫 喜剧	romcom	情侣	浪漫 喜剧
fta	acronym for "from the article."  Used on link aggregation and discussion websites (such as digg.com and reddit.com) to introduce a quote from the article being discussed.	从文章 链接 聚合 讨论 网站引用 讨论 文章 报价	fta	自由 贸易 区	FTA
shlong	a penis.	阴茎	shlong	湖南 炎陵 县 神龙	炎陵 县 神龙
irie	good.	好	irie	入江	Irie
burl	to vomit.  Org: Combination of barf and hurl	呕吐	节	伯尔	树瘤
wingnut	someone lacking in mental abilities, uneducated, rather than mentally handicapped.	缺乏 精神 能力 未受 教育	wingnut	蝶型	枫杨
haterade	a metaphorical drink that haters consume.  From "hater" + "Gatorade".	隐喻 饮料 仇恨 消费	haterade	haterade	haterade
craptastic	displeasing.	不 愉快	craptastic	craptastic	craptastic
refi	refinance.	再 融资	refi	再 融资	再 融资
jackoff	a general insult.  Perhaps a combination of "jackass" and "jerk-off".	侮辱 蠢货 受淫	jackoff	jackoff	「
doozy	something especially bad.	特别 糟糕	doozy	怪诞	谎言
redic	shortening of ridiculous	可笑	redic	雷吉奇	他
fek	fuck.	他妈的	fek	fek	正规 教育 知识
roflmfao	acronym for "rolling on [the] floor laughing my fucking ass off".	打滚 地板 笑 他妈的 屁股	roflmfao	roflmfao	roflmfao
mato	marijuana.  Used usually by cholitos (the Mexican equivalent of "gang members").	大麻 帮派 成员	马托	马托	马托
woofer	term used for a bad smell.	恶臭	低音 喇叭	低音 单元	低音 单元
mcgangbang	from McDonald's, a full Chicken Sandwich inside a Double Cheeseburger.	麦当劳 鸡肉 三明治 双重 乳酪 汉堡	mcgangbang	mcgangbang	mcgangbang
lel	LOL with the O replaced with an E.	大笑	lel	lel	LEL
yarra	Fujo,stupid fool-Yu're a yarra and dill'	愚蠢 傻瓜	亚拉	亚拉	亚拉
newb	someone who is new to a particular group, activity, game, field of study, etc.  Also n00b, newbie.	组 活动 游戏 研究 领域 新手	新手	新手	新手
samo	same old shit.  The graffiti tag of artist Jean Micheal Basquiat.	相同 东西	萨莫	samo	萨摩
butt-head	Someone who isn't that smart or isn't nice.  Synonyms: stupid; idiot; mean; cruel; jerk;.	愚蠢 白痴 意思 残忍 傻瓜	对接 头	屁股 头	对接 头
doily	an overly fussy, whiny male.  A male that lacks backbone or is easily bullied.  A male that "does not wear the pants" in a relationship and concedes too easily even when he is right.  A male with overly feminized grooming habits such as arched waxed eyebrows.	过于 挑剔 男性 骨气 欺凌 男性 女性化 修饰 习惯 拱形 打蜡 眉毛	花边	桌巾	桌巾
sauced	drunk.	醉 酒	调味	酱	酱
burglarize	To listen in on somebodies conversation without being invited. I.E.-You're on the bus talking with a friend and somebody you don't even know either tries to get into the conversation or is obviously listening.	邀请 情况 倾听 某人 谈话	盗窃	入室 盗窃 事件	夜盗
cunny	vagina.	阴道	兔子	狡黠	因为
shiner	a black eye.	黑 眼睛	shiner	夏纳	赛诺
digits	phone number.	电话 号码	数字	位数	数字
stogie	cigar.	雪茄	stogie	雪茄	雪茄
mezzanine	(v)  to blow off.  "That bitch didn't show up -- I just got mezzanined."  2.  (v)  to be tipsy.  "I've had a little too much to drink -- I'm feeling mezzanined."  3.  (n)  of high quality or containing something of high quality.  "I want my martini mezzanine."  4.  (n)  dwelling in a high place.  "Where on the shelf is the cook book?  Oh, it's mezzanine."This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found.	吹走 醉酒 头晕	夹层	夹层	夹层
gfy	acronym for "go fuck yourself".	去死 操 自己	gfy	gfy	gfy
faceplant	an instance of "faceplanting", as described below.	面部 植入 移植	面部	faceplant	faceplant
deadhead	a fan of the band The Grateful Dead.	The Grateful Dead 乐队 粉丝	死头	庸人	庸人
lewinsky	a session of fellatio.	口交	lewinsky	莱温斯基	莱温斯基
bangable	a person that you would have sex with; not a gorgeous person but an average person	你 发生 性关系 做爱 人 漂亮 普通人	bangable	bangable	bangable
souped	excited.	兴奋	汤	加 大 马力	马力
crossfade	to be under the influence of both marijuana and alcohol.	大麻 酒精 影响	交叉 淡化	匀滑 转换	淡入 淡出
vpl	acronym for "visible panty lines".  That is: the edges of underwear visible through outerwear.WARNING: The following citation contains a picture that may not be suitable for workplaces.	内衣 内裤 边缘 外衣 可见	vpl	vpl	VPL
hotwife	a married MILF/cougar who has younger men as lovers while her cockold husband remains monogamous.	已婚 中年 女子 年轻 男人 情人 丈夫 一夫一妻	热 夫妇	hotwife	hotwife
albatross	a curse.	诅咒	信天翁	信天翁	信天翁
nood	nude.	裸体	nood	申请	面
coz	because.	因为	coz	因为	因为
whattup	shortened form of "What's up".	什么 怎么	whattup	咋了	whattup
twenties	20 inch rims.	20 英寸 轮圈 轮毂	二十多岁	二十多岁	20
ojay	to murder and then, at trial, be able to create reasonable doubt.	谋杀 审判 产生 合理 怀疑	ojay	ojay	好的
swill	to drink something very quickly, usually an alcoholic beverage.	快 喝 东西 酒精 饮料	泔水	泔水	泔水
hots	to make claim on someone's treats	待遇 提出 索赔	hots	爱慕	哈
yardie	that best friend you had as a kid whose house was situated in back of your house where as you had to cross your backyard in order to go and pay him a visit each day.	最好 朋友 孩子 房子 位于 后面 穿过后院 访问	码	yardie	亚迪
tdb	as an expression of mock concern, it stands for Too darn Bad.	假 虚假 关注 代表 坏	tdb	tdb	TDB
kamikaze	reckless.	鲁莽	kamikaze	神风 敢死队	神风 特攻队
sambo	a sandwich.  Ireland slang.	三明治 爱尔兰 俚语	sambo	三宝	三宝
blinder	having a 'blinder' means a massive win.  Geez mate, you're havin a blinder. [he is winning, usually successive wins]	巨大 胜利	遮挡	布林德	布林德
squidgy	Restless.	不安	鱿鱼	泥泞 滑溜	潮湿
totty	an attractive person.	有魅力 人	totty	托蒂	托蒂
afterglow	the pleasant feeling after sexual intercourse.	性交 后 愉快 感觉	余辉	余辉	余辉
flange	Noun meaning woman or vagina.  I've just heard that this is what my boyfriend calls me.  Possibly British slang.	女人 阴道	法兰	法兰	轮缘
beezy	A girl  - bitch	女孩 婊子	beezy	beezy	比兹
deliverable	a unit of promised work.	承诺 工作	可 交付	可 交付 结果	可 交付 成果
rasp	an attractive female / another word for shagging / to use.	迷人 女性 做爱 使用	锉	锉刀	锉
cya	acronym for "cover your ass."	擦屁股 掩盖	cya	氰基丙烯酸酯	CYA
kma	Short for kiss my posterior.	亲 我的 屁股	kma	kma	KMA
dokey	dokey - stupid.  Came from Llecu - sinister/ shady.	dokey - 蠢 阴险 阴暗	dokey	马上 就来	道奇
shwag	bad, or generally negative.	坏 消极	shwag	shwag	shwag
capper	The handicapped stall in a bathroom.  usually oversized with those bars attached to the walls.	残疾人 浴室 隔间 通常 超大 扶手	封口机	旋盖机	封口机
uz	you is	你 是	ü	乌斯	乌斯
dickhole	jerk; "asshole".	混蛋	dickhole	dickhole	dickhole
puts	to amble.	安乐	投入	提出	放
boobage	breasts; "boobs".	乳房 胸部	boobage	某些	波波
five-o	Originating from the TV show "Hawaii 5-O", this is used when cops are around.	警察 来了 周围 使用	五点	五-o	秧鸡
shup	Shut up!	闭嘴	shup	闭嘴	再 也 不
wellies	short for 'wellington boots' another name for gumboot. Used in New Zealand, Britain and Ireland.	惠灵顿 靴子	wellies	长筒 靴	雨 靴
scally	See chav.	英国 文化 年轻人 运动服 底端 汽车 改装 金项链 饶舌	scally	行	Scally
uber	ideal, prefix meaning "super-"	理想 超级	uber	尤伯杯	尤伯杯
gobby	prone to being verbally disrespectful; "mouthy".	口头 不尊重	gobby	gobby	Gobby
dees	Waves, pomps, or swirls in a mans afro or exotic hairstyle. The exciting and pleasing part of an afro. May also refer to dubs or other bling affiliated accessories.	波浪 漩涡 发型 非洲人 令人兴奋 令人愉快 附件 配件	dees	迪斯	迪斯
crowdsourcing	the use of visitors to a website to accomplish some task.  For example: the management of information on Wikipedia through its millions of visitors.	众包	众包	众包	众包
muffy	a flamboyant gay male.	华丽 高调 同性恋 男性	松软	muffy	Muffy
wigger	a Caucasian who acts, dresses and emulates like a black person from the ghetto.	白人 模仿 黑人	wigger	维格 河	威格
grundy	a vaginal wedgie.	阴道 内裤 嵌入	grundy	格兰迪	格兰迪
adorbs	alternate form of "adorable".	可爱	adorbs	夫妇 男粉	adorbs
bittie	an attractive female.	迷人 女性	比特	bittie	小片
moggy	a mongrel cat.	杂种 猫	猫	宠物 猫	家猫
creel	to twist or sprain.	扭曲 扭伤。	纱 架	筒子 架	筒子 架
909	909 is a derogatory reference to the California Inland Empire, taken from its area code.  It generally means  "far away and not worth going to."  It has been popularized in slang by the radio deejays Kevin and Bean, who constantly dis on the 909 and all its residents as unsavory.	内陆 帝国 贬义 区号 很远 不值得 去	909	909	九百 零 九
jabber	to talk at length.	长谈	jabber	吱吱喳喳	Jabber
chi-chi	breast or breasts.	乳房 乳房	chi-chi	集集	Chi
spesh	something pretty.  Origin: Short for "special"	漂亮 东西	spesh	spesh	spesh
cringeworthy	so embarrassing as to cause a cringe reaction.	尴尬 导致 紧张 反应	谨慎	内容 别扭 没等	教授
spineless	Not having the courage to say something; not standing up for yourself; not having the courage to say no.	没有 勇气 说	无纺 布	没 骨气	没有 骨气
juug	to steal.	偷	juug	juug	juug
doggone	used to add emphasis.  Euphemism for goddamned.	强调 重点	狗狗	该死	该死
hg	high gravity.	高 引力 重力	hg	hg	汞
blech	exclamation of disgust.	惊叹 厌恶	漂白	blech	呸
fofo	.44 caliber pistol. one of many favorite weapons mentioned in rap songs.	.44  口径 手枪 说唱 歌曲 武器	fofo	fofo	花 前 月 下
guns	very strong arms	 强大 手臂	枪	枪	枪
cfnm	acronym for "clothed female, naked male".  A genre of pornography.	穿衣 女 裸男 色情	cfnm	cfnm	cfnm
yippie	a member of the Youth International Party, a youth-oriented and countercultural offshoot of the free speech and anti-war movements of the 1960s.	青年 国际 党 自由 言论 反战 运动 反文化	yippie	雅皮	耶
fath	acronym for "first and true husband".  The love of one's life.	第一 真正 丈夫 生命 爱	fath	爸爸	法特
floozy	a woman with a reputation for promiscuity.  Alternate spelling of floozie.	滥交 名誉 女人 淫荡	floozy	劣根性	荡妇
plur	An acronym for Peace Love Unity Respect, commonly used in the rave scene.	和平 爱 团结 尊重 狂欢 场景	plur	锐舞 精神	复数
ambo	ambulance.	救护车	安博	ambo	围
oic	acronym for "oh, I see".  Used mainly in computer-based conversation (instant messaging, email, text messaging, etc.)	哦 我 明白	oic	伊斯兰会议组织	伊斯兰会议组织
big-ass	very big.  See "-ass".	很大	大 屁股	大 屁股	大 屁股
peppy	energetic.	精力 充沛	peppy	peppy	活泼的
chinook	an unseasonably and sudden, constant warm wind that blows from the west to the east through the cascade mountain passes (late winter to early spring).  It usually lasts for the better part of a day and will not only melt all the snow but dry up all the water too.  Familiar to anyone living in the foothills of the eastern cascade mountains in Washington State and Oregon.	不合时宜 突然 恒定 温暖 风 吹 华盛顿州 俄勒冈	chinook	奇努克	奇努克
turducken	a turkey stuffed with a duck stuffed with a chicken.	鸭子 充塞 火鸡 充塞鸡。	turducken	布法罗辣鸡翅	火鸭
hogwash	nonsense.	废话	hogwash	连篇的废话	泔水
blather	to talk.	谈话	废话	乱说	乱说
sumbitch	son of a bitch.	王八蛋	sumbitch	sumbitch	sumbitch
boogey	congealed nasal mucus.	凝固 鼻涕	boogey	费尽心机	傀儡
tushy	alternate spelling of tushie.	屁股	tushy	屁 屁	小 屁屁
perot	verb meaning to exit, drop out, or abandon a plan suddenly.  A reference to Ross Perot's  1992 US presidential run.	退出 辍学 放弃 计划	perot	珀罗	佩罗特
hometeam	hanging out with friends more than 4 other people.	朋友 一起 出去 玩 超过	hometeam	翌年	主队
supercalifragilisticexpialidocious	something to say when you have nothing to say.  From the Disney film Mary Poppins.	没有 可说 话	超钙化	胡言乱语	难以置信
chatterbox	a person who talks a lot.	谈论 健谈 人	chatterbox	话匣子	话匣子
nfg	Often used by mechanics or engineers - "no fuckin' good."	机械师 技工 工程师 没有 他妈的 好	nfg	神经生长因子	NFG
fud	the vulva ("vagina").	外阴 阴道	fud	fud	FUD
spazzy	out of one's mind.  See also spaz.	失去 理智	spazzy	spazzy	spazzy
squirrels	attractive females.This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found.	迷人 女性	松鼠	松鼠	松鼠
rainmaker	something that brings money.	来钱 东西	雨水器	润利	造雨人
yobo	a "yob".  Australian slang.	“yob”。	yobo	yobo	优邦
lolcat	a photograph of a cat along with a humorous caption, which usually contains misspellings.	猫 照片 幽默 说明 通常 包含 拼写 错误	lolcat	大笑	非主流
doink	as a sound effect used when illustrating poking or hitting.	戳刺 击打 声音 性爱 做爱	doink	性方面的问题	朵克
hyna	A girl, Woman.	女孩 女人	海纳	hyna	鬣狗
cakewalk	easy simple, piece of cake.	容易 简单	cakewalk	易如反掌	简单 事
fap	onomatopoeia used to imply male masturbation.	拟声词 暗示 男性 手淫。	fap	fap	FAP
dudette	a female.  The female "version" of the word "dude".	女性 花花公子	dudette	男	女的
stumped	stuck in not understanding; "perplexed".	坚持 不理解 困惑	烂了	难倒了	难倒
scuttle	to destroy.	摧毁	scuttle	斗	天窗
sacrilegious	improper.	不当	亵渎	亵渎	亵渎
honcho	a leader.	领导 领袖	honcho	本町	町
doin	Doing.	做	doin	做	在做
jongkey	the yaoi pairing of Jonghyun and Key from the Korean boy band SHINee.In Jongkey, Jonghyun is always the dominant and most manly one out of the two, whereas Key is always the girly submissive counterpart.In yaoi smut for Jongkey, it is rare that Jonghyun is the one penetrated.	韩国 男孩 乐队	jongkey	jongkey	jongkey
buh-bye	How you say goodbye to someone you dislike.  Origin: David Spade on Saturday Night Live.	再见 不喜欢 人	buh-bye	-再见	再见
gook	Gook is a Korean word used as a bad slang towards people of Asian culture. It's original meaning translates to "people of". Americans are known as Mi-gook, Korean's are Han-gook, and so on. The word Gook was probably taught to American GI's during the Korean War, who bastardized it's use. It surfaced again and was used by GI's who later fought in VietNam. It's still used as a common, non-derogatory, word in Korea and as a slang in other parts of the world.	韩国 单词 亚洲 文化 人	gook	约克	约克
mozzie	a mosquito.	蚊子	mozzie	蚊子	Mozzie
upsell	something sold to a customer that they hadn't originally planned to buy.	东西 卖给 客户 原本 不打算 购买	加售	追加 销售	向上 销售
sizzler	an attractive person.  Used most often to describe females.	有魅力 迷人 女性 女人	sizzler	sizzler	时时 乐
butterface	a female who is attractive with the exception of her face.  In other words, "everything is attractive but-her-face."	女性 吸引力 迷人 除了 脸	铜面	身材	butterface
nonce	a male who is attracted to much younger women.	年轻 女性 吸引 男性	随机数	nonce	杜撰
whaddya	what do you.	你 干 什么	瓦迪亚	啊	是你
